RouteKey,OriginAirportKey,DestAirportKey
ABQ-ATL,ABQ,ATL
ABY-ATL,ABY,ATL
AEX-ATL,AEX,ATL
AGS-ATL,AGS,ATL
ALB-ATL,ALB,ATL
ANC-ATL,ANC,ATL
ASE-ATL,ASE,ATL
ATL-ABQ,ATL,ABQ
ATL-ABY,ATL,ABY
ATL-AEX,ATL,AEX
ATL-AGS,ATL,AGS
ATL-ALB,ATL,ALB
ATL-ANC,ATL,ANC
ATL-ASE,ATL,ASE
ATL-ATW,ATL,ATW
ATL-AUS,ATL,AUS
ATL-AVL,ATL,AVL
ATL-BDL,ATL,BDL
ATL-BGR,ATL,BGR
ATL-BHM,ATL,BHM
ATL-BMI,ATL,BMI
ATL-BNA,ATL,BNA
ATL-BOI,ATL,BOI
ATL-BOS,ATL,BOS
ATL-BTR,ATL,BTR
ATL-BTV,ATL,BTV
ATL-BUF,ATL,BUF
ATL-BUR,ATL,BUR
ATL-BWI,ATL,BWI
ATL-BZN,ATL,BZN
ATL-CAE,ATL,CAE
ATL-CHA,ATL,CHA
ATL-CHO,ATL,CHO
ATL-CHS,ATL,CHS
ATL-CID,ATL,CID
ATL-CLE,ATL,CLE
ATL-CLT,ATL,CLT
ATL-CMH,ATL,CMH
ATL-COS,ATL,COS
ATL-CRW,ATL,CRW
ATL-CVG,ATL,CVG
ATL-DAB,ATL,DAB
ATL-DAL,ATL,DAL
ATL-DAY,ATL,DAY
ATL-DCA,ATL,DCA
ATL-DEN,ATL,DEN
ATL-DFW,ATL,DFW
ATL-DHN,ATL,DHN
ATL-DSM,ATL,DSM
ATL-DTW,ATL,DTW
ATL-ECP,ATL,ECP
ATL-EGE,ATL,EGE
ATL-ELP,ATL,ELP
ATL-EVV,ATL,EVV
ATL-EWR,ATL,EWR
ATL-EYW,ATL,EYW
ATL-FAR,ATL,FAR
ATL-FAT,ATL,FAT
ATL-FAY,ATL,FAY
ATL-FLL,ATL,FLL
ATL-FSD,ATL,FSD
ATL-FWA,ATL,FWA
ATL-GEG,ATL,GEG
ATL-GNV,ATL,GNV
ATL-GPT,ATL,GPT
ATL-GRB,ATL,GRB
ATL-GRR,ATL,GRR
ATL-GSO,ATL,GSO
ATL-GSP,ATL,GSP
